"","x"
"221","Why is no one talking about OFWs being forced to back to the Philippines the past weeks because of COVID-19 but with the announcement of lockdown, have no idea what to do"
"222","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus 

 "
"223","countries around us are taking significant measures to combat covid-19. eg india on visa ban and philippines on a lockdown, meanwhile we are still in the midst of a high school drama in the name of political turmoil. worst thing is, we are ""more developed"" than them "
"224","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"225","so ano ang sense ng LOCKDOWN ulet? make it make sense pls kaya nga maglockdown to prevent the spread dba? 

DURING TYPHOON: WATERPROOF MGA COLLEGE STUDENTS AND LABOR FORCE

DURING COVID PANDEMIC: VIRUSPROOF MGA EMPLOYEES!!

ONLY IN THE PHILIPPINES!

I KENNOT WITH THIS COUNTRY! "
"226","5 deats of covid cases in philippines :( stay safe everyone !!! mm is in lockdown... but pls dont panic buy <U+0001F64F><U+0001F3FC>"
"227","Philippines President Duterte places the capital region on a lockdown for a month to help contain the outbreak of the coronavirus "
"228","China - selective lockdown
S. Korea - selective lockdown
Italy - nationwide lockdown
US - cancelled flights from Europe 
Philippines - tara guys naglolockdown na sila baka its time for us too"
"229","Manila, Philippines is now experiencing a what's so called ""Community Quarantine"" which means travel by land, domestic air, and domestic sea to and from Metro Manila will be suspended starting March 15, 2020, until April 14.

In other words, a lockdown."
"230","Land, domestic air, and domestic sea travel to and from Metro Manila shall be suspended beginning March 15, 2020 until April 14, 2020 subject to the daily review of the inter-agency task force, President Duterte says during his address on "
"231","Philippines restricts travel in, out of Metro Manila to contain COVID-19 | ABS-CBN News "
"232","Covid19 to lockdown to abscbn shutdown to martial law. anuna Philippines"
"233","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus "
"234","As Duterte draws up an ill-timed, poorly-conceived, and badly-explained month-long lockdown of MM, 3 more have died from "
"235","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"236","NCR class suspension til April 12 but lockdown(travel restriction to &amp; from NCR) is til April 14. How does that work for students living outside NCR but studying here or vice versa?

Duterte declares lockdown of Metro Manila for 30 days due to COVID-19 "
"237","lockdown with exemption only in the philippines"
"238","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus - "
"239","Land, domestic air, and domestic sea travel to and from the region will be suspended from March 15 to April 14, while mass gatherings have been banned "
"240","Metro Manila to be placed on lockdown due to coronavirus outbreak: "
"241","So, Metro Manila Philippines would be experiencing a lockdown on March 14, meaning all land, domestic air and domestic sea travels to and from outside Metro Manila would be suspended (basically a lockdown)."
"242","Philippines: martial law cosplaying as lockdown "
"243","Remember swine flu? Lots of people had that, myself included.
Minor.
Look after yourself and you’ll be fine.

And swine flu WAS as bad as this.

Mexico and philippines went into lockdown."
"244","Ballet Philippines' president now that covid-19's threat is more real than last Feb and Metro Manila will be under lockdown so Rama Hari will have to be cancelled meaning she won't be able to boast how grand or sosyal it is to other socialites "
"245","Lockdown starting Sunday. Panic buying in groceries. Water shortage. Pray hard. "
"246","Philippine authorities place Metro Manila under quarantine, halting travel in and out of the capital region for a month from March 15 until April 14, 2020. "
"247","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"248","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"249","I don’t get the need to impose punitive measures. If punishing those who violate the quarantine or lockdown means putting people in prison, then the Philippines is worsening an existing incubator for Covid-19 &amp; other epidemics: our overcrowded jails."
"250","Philippine authorities place Metro Manila under quarantine, halting travel in and out of the capital region for a month from March 15 until April 14, 2020.

"
"251","Philippines impose lockdown.. not sure you will be affected but "
"252","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus
"
"253","Philippines President Duterte puts Metro Manila on lockdown due to coronavirus; travel in and out of the capital will be prohibited from Sunday and mass gatherings are banned - ABS-CBN
"
"254","BREAKING: Philippines— Metro Manila on lockdown due to "
"255","Philippines' Duterte announces 'lockdown' of Manila to fight... "
"256","Philippines President Duterte puts Metro Manila on lockdown due to coronavirus; travel in and out of the capital will be prohibited from Sunday and mass gatherings are banned - ABS-CBN"
"257","Philippines' Duterte Announces 'Lockdown' of Manila to Fight Coronavirus - "
"258","MM, PH will be on lockdown. Travels to and from the Philippines will be halted from March 15 - April 14 (LRTs &amp; MRTs will still resume operations but must maintain ~social distancing~) 

Most, if not all public events/gatherings will be postponed!

"
"259","President Rodrigo Duterte imposed COMMUNITY QUARANTINE within Metro Manila as a precautionary measure to the developing COVID19 situation in the Philippines. 
""Community quarantine imposed in the entire Metro Manila. For Manila, ayaw naming gamitin “lockdown” but it’s a lockdown. "
"260","Philippines' Duterte announces containment measures in Manila to fight COVID-19 "
"261","Philippines' Duterte announces containment measures in Manila to fight COVID-19 "
"262","I don't know why but with the current status of NCOV around the world, I feel more worried for the Filipinos in the Philippines specially in NCR rather than for myself here in Japan. Haiiii. "
"263","Philippines restricts travel in, out of Metro Manila to contain COVID-19 | ABS-CBN News "
"264","I fall asleep and I wake up to parts of the Philippines on lockdown, Ireland on lockdown....."
"265","We lost it when he said “walang akong alam”. Ok, Filipinos let’s do this — help ourselves. <U+2764><U+FE0F><U+0001F1F5><U+0001F1ED> "
"266","Philippines' Duterte announces 'lockdown' of Manila to fight coronavirus "
"267","for Hubei province.
•Duterte said that Chinese President Xi Jin-Ping wrote him a letter that they are willing to help the Philippines on combating COVID-19.
•Duterte: everything is placed in jeopardy.
•THERE WILL BE NO LOCKDOWN."
"268","This is so Alarming guys 
You need to obey what the government to do for our country 
"
"269","Philippines may impose ‘localized lockdown’ under Code Red Sublevel 2 "
"270","Rappler: Metro Manila, a region of over 12 million people, will be placed on lockdown for at least 30 days (Mar 15 - Apr 14) to contain the spread of the novel coronavirus in the Philippines. "
"271","So uh, Philippines... one of the closest country to COVID-19 Ground Zero(geographically/location) and has been a great place for tourist visits, currently there are about 10 to 11+ confirmed cases all over the major cities in NCR, no lockdown, no patrol, no suspension. We Dead <U+0001F480>"
"272","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus "
"273","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus "
"274","<U+203C><U+FE0F> Code Alert System for "
"275","so the president just put manila on lockdown and my boss told us to work from home indefinitely <U+0001F629> shit’s really hitting the fan here in the philippines so filo oomfs pls stay safe take ur vitamins don’t go out don’t touch anything. your health is the "
"276","Philippines (especially who are non-duterte voters) is so UNFORTUNATE that it has the most stupid and incompetent President in the midst of a global health problem.

"
"277","Due to the recent lockdown for the national capital region in the Philippines due to the coronavirus, we regret to inform all of you that shipping for everyone’s copy of the zine will be DELAYED until the lockdown is lifted.

We apologize for any inconvenience this has caused <U+0001F64F>"
"278","Philippines’ Duterte announces ‘lockdown’ of Manila to fight coronavirus "
"279","Dear President Duterte, 

If there is a need to declare martial law to slow down the spread of "
"280","Philippines' Duterte announces ""lockdown"" of Manila to fight coronavirus "
"281","As Nick Joaquin said, ""when Manila sneezes, the Philippines catches cold."" So it goes, imperial Manila is in lockdown."
"282","SA PRESSCON, MAY MILITAR.

SA QUARANTINE, MAY MILITAR.

SA CHECKPOINTS AT LOCKDOWN, MAY MILITAR.

THE WHOLE POINT IS TO MILITARIZE THE COMMUNITIES AND THE HOMES OF THE PEOPLE AS THEIR RESPONSE TO A FAULTY, UNDERFUNDED AND MISGUIDED HEALTHCARE SYSTEM IN THE PHILIPPINES."
"283","The Philippines being on lockdown is just another term of this fascist government for martial law."
"284","I hope the government eliminates all panic buyers, and other dark elements of society, especially during the "
"285","Me cancelling 2020 given a chance.. Without. Second. Thought!! This whole Covid-19 is crazy.. I think this is the only way! Cancel 2020! Restart 2020! God help us all <U+0001F64F> hoping Metro Manila "
"286","In conclusion fuck duterte for not banning all flights from fucking china and because of him being a fucking pussy philippines now have coronavirus and is now possibly being on lockdown mode "
"287","Sadly the people here in the Philippines overreact too much that they think declaring a Lockdown will be the end of the world. SMH"
"288","READ: Although not on lockdown, Davao city releases travel guidelines for its residents, prohibiting them from going out of the city.

<U+0001F4F8>: Screenshot from City Government of Davao's Facebook

Get live updates on COVID-19 here: "
"289","People here in the Philippines, Metro Manila, Makati are panic buying, fearing a lockdown. I was only there to get some snacks. "
"290","I know that this is not Anime related but I have to at least speak up about this--

To my mutuals who live in the Philippines, please don't spread fear and panic by sharing news about the lockdown. As of this moment, the lockdown is still NOT confirmed and +"
"291","Can we impose a lockdown on all blabbermouths spreading "
"292","OOR havent cancelled / postponed their concert here in Philippines right?? I think its much better for them and for everyone to cancel it. Confirmed cases are increasing and there might be a possible lockdown. Idk. Lets not risk our health."
"293","I'm okay with the lockdown if hindi aabusuhin. Lockdown to focus all available resources sa NCR kasi dito malala yung outbreak. If the entire Philippines is infected, ano na gagawin natin then? Maybe we're all scared bec we do not trust the government not to abuse the situation."
"294","And I'm gonna be stuck in the Philippines since Duterte has plan to lockdown the National Capital Region tonight! <U+0001F616><U+0001F616><U+0001F616>"
"295","Fake news, online resellers of alcohol and facemasks, exaggerated posts, people who poke fun re COVID-19 and others cause panic thru their FB Post. To stop all of these, lockdown Facebook for a month in the entire Philippines to shut them up and let's all watch news instead. <U+263A><U+FE0F>"
"296","WHO reported 70% of COVID19 cases have now fully recovered. China closes 16 temporary hospitals in Wuhan due to decline in infections. Meanwhile in the Philippines; "
"297","Philippines may impose
 ‘localized lockdown’ 
under Code Red Sublevel 2
"
"298","“With 49 cases in the Philippines, there is already a possible lockdown.”

“8,000 cases in South Korea and they didn’t lockdown any cities.”

Oh I’m scared, the poor healthcare system in the PH is really bothering <U+0001F97A> "
"299","<U+0001D40B><U+0001D40E><U+0001D40E><U+0001D40A>: Philippine National Police (PNP) debunks fake news released today, March 12, clarifying that they did not issue an order for a lockdown in NCR, and that they do not have the authority to do so.

<U+0001F4F8> Photo credits to DILG Philippines "
"300","As rumours of poss lockdown circulate, people in Manila flood grocery stores and pharmacies. Anxious &amp; beyond panicked. "
"301","Is it true that other nations threaten the Philippines if they will go on lockdown? 3rd world problem"
"302","so when the philippines is under code red sub-level 2 soon.. 
-no mass gatherings 
-extended class suspension
-work suspension
-lockdown  
"
"303","Senate President Vicente Sotto III ordered lockdown on the Senate of the Philippines building on Thursday for disinfection after a resource person who recently visited a Senate hearing tested positive for the coronavirus disease (COVID-19).
"
"304","Philippines senate, ADB headquarters closed after coronavirus scare "
"305","Italy &amp; Denmark: lockdown
Kuwait: all flights suspended
US: all travel &amp; cargo from Europe suspended

Philippines: "
"306","I just heard Kuwait has some sort of lockdown where all malls and public areas are closed. if this happens in the Philippines, it will be a nightmare talaga"
"307","Philippines may impose ‘localized lockdown’ under Code Red Sublevel 2 "
"308","The Philippines using one of its islands or more, as an isolated area for COVID19, lockdown. Or, vice versa. 

Early morning thoughts though."
"309","Philippines has 49 cases of COVID19 as of tonite. Schools are cutting their schoolyear scheds and have plans of lockdown.. People are panic buying in supermarkets sanitizers, rubbing alcohols and toilet papers. the govt is just watching it unfold without doing anything"
"310","Meanwhile, in the Philippines, government is thinking about how to help businesses cope. NOT how THE PEOPLE can cope. — "
"311","on together. Because, placing the entire Metro Manila aside from being idiotic, will have deep negative economic impact all over the entire Philippines in the long-run, if such lockdown would be imposed that I hope, would not be imposed."
"312","Singapore: Orders military to help out packing and distributing masks to citizens. Orders border patrol to be more strict and limit entry. 

Philippines: Won’t shut its borders down esp to China. Orders police force to help implement local lockdown. 

AYAN! Very comparable sa SG! "
"313","Philippines may impose ‘localized lockdown’ under Code Red Sublevel 2 "
"314","No Third World Country has enforced a lockdown to combat COVID-19 yet. For obvious reasons. The Philippines shouldn't be the 1st."
"315","Philippines may impose ‘localized lockdown’ under Code Red Sublevel 2 "
"316","Philippines may impose ‘localized lockdown’ under Code Red Sublevel 2 "
"317","Perhaps if you implemented the travel ban, as early as FEBRUARY as the virus spread in China, maybe the Economic Fallout didn't affect us as much if we implement a Lockdown in Manila to Contain the Virus.

"
"318","BREAKING: DILG said NO LOCKDOWN in Metro Manila and other "
"319","The Trade Union Congress of the Philippines (TUCP) on Wednesday requested a dialogue between the government and the labor sector amid talks of a possible lockdown of Metro Manila amid the COVID-19 threat.

 "
"320","A lawmaker on Wednesday said the Philippines could take its cue from South Korea in controlling the spread of the highly contagious coronavirus disease 2019 (COVID-19) instead of resorting to a possible lockdown.

READ FULL STORY: "
"321","Italy has hundreds of Chinese workers employed in the factories of their luxury brands. Italy is now under lockdown. The Philippines is gonna get it worse -_-"
"322","Why does Philippines want to lock down so badly? Do you guys really know what a lockdown is? Yeah, it'll slowdown foreign carriers but it'll affect so much business and daily lives as well and then yall gonna complain about that too? The disrespect to the President <U+0001F926><U+0001F3FB>"
"323","stale way a school year has ended in my experience. And a scary one at that. Thirty-five Cases were filed in Manila earlier today, and now the entire Philippines is going into lockdown-mode or something. I was looking forward to next week and spending time with my friends 2/2"
"324","So people in Philippines be panick buying in the grocery due to possible city lockdown due to the Corona Virus outbreak and then i see one dude stocking up on liquor <U+0001F37B><U+0001F943><U+0001F37A> hahahaha bruh  he be here for good time not a long time anyways lol <U+0001F602><U+0001F923><U+0001F602><U+0001F923>"
"325","Locking down the entire NCR would cripple the already crippled economy of the Philippines.

My suggestion is to lockdown only certain areas in the Metro where cases are most prevalent, if they consider to take this action."
"326","Philippines :
Red alert 
:Lockdown
:Lockdown
:Lockdown
:Lockdown

La Union:sana all diba  nasa Philippines"
"327","There are now 35 cases of Covid-19 in the Philippines and the President who should have declared a state of health emergency when it was passed by the DOH 3 weeks ago and a lockdown put in place is just mucking around talking about ""peubonic plague &amp; witches in the middle east."""
"328","Other countries/cities had only 1 case and considered lockdown. Meanwhile, Philippines now has 35 and we are still working, taking public commutes, and risking ourselves because we have no choice. <U+0001F614>
"
"329","Damn philippines puttin all students on lockdown"
"330","lockdown na din ang PHILIPPINES <U+0001F64F><U+0001F3FB>"
"331","Philippines declares health emergency amid fears of community spread of coronavirus

Duque: 
But he insisted that a lockdown was ""premature"".

""We have to wait for evidence of sustained community transmission,""

Geh, wait ka mahawahan sarili mo

 "
"332","almost my whole country is on lockdown bc of the virus, classes are suspended until friday.. philippines army moots, pls stay safe <U+0001F97A>"
"333","Duterte rejects Metro Manila coronavirus lockdown for now "
"334","Duterte rejects Metro Manila coronavirus lockdown for now "
"335","Filipinos are stupid. You want to lockdown the capital of the philippines for what 24 cases? As far as i know it will kill more if they initiated the lockdown kasi they will be isolated and food shortage will occur. Isip muna bago gumawa ng aksyon mga tanga "
"336","sa kabila ng mga sinabi mo Duterte, isa lang ang natamaan mo,,, it was a wise decision for President Duterte for deciding NOT to Lockdown Metro Manila. It would have cripple the economy of the Philippines or worse may lead to a recession."
"337","It was a Wise decision for President Duterte for deciding NOT to Lockdown Metro Manila. It would have cripple the economy of the philippines or worse may lead to a recession."
"338","This is fucking stupid.

The virus already beat the period where containment is going to stop it. All you can do now is treat the cases as they arise. The Philippines has no ability to support a population that can't stockpile food and water for a week.

"
"339","And again, If i die due to the virus, i’ll haunt every people in the government.  <U+2620><U+FE0F><U+2620><U+FE0F><U+2620><U+FE0F>

Other countries: Free mask, alcohol, sanitizer, lockdown/travel ban. 
PH: Let’s send help to *insert country name here*
Also PH: MASK - OUT OF STOCK. WELCOME TO THE PHILIPPINES!!! "
"340","Kuwait imposes travel ban on Philippines; Bethlehem on lockdown "
"341","Kuwait imposes travel ban on Philippines; Bethlehem on lockdown
"
"342","The Kuwaiti government also suspended for a week all flights to and from Egypt, Lebanon, Syria, Bangladesh, India and Sri-Lanka which, like the Philippines, are dealing with local cases of COVID-19. "
"343","Kuwait imposes travel ban on Philippines; Bethlehem on lockdown "
"344","Kuwait imposes travel ban on Philippines; Bethlehem on lockdown "
"345","Kuwait imposes travel ban on Philippines; Bethlehem on lockdown "
"346","It's 12am and lock down in M. Manila will officially begin, but our stupid ass neighbors decided it's the perfect time to party <U+0001F926><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2642><U+FE0F>
"
"347","To all the people who keep on ranting against the government, bitch! Imagine those people who are working in the hospital, authorities who scan every single person who are about to enter manila toiling 24/7! Just mind ur hygiene instead of attacking the government! "
"348","Don't lose hope! We can defeat this virus! In-fact many people recover from this virus don't lose hope! Just wash ur damn hands more often! BE HYGIENIC!
"
"349","They are risking their life for you and your family! Please stop posting shits on social media against the government!
"
"350","The real virus are the Filipinos who think they know everything but actually know nothing. Those who don't know how to cooperate and just criticize. ""The Pseudo-intellectuals"". Filipino Stupidity is the real virus. "
"351","Dear Philippines,

It's Quarantine Not Prison
It's Lockdown Not Martial Law.

Wag utak talangka.

Caloca! "
"352","Okayyy Panic Buying!!!!! "
"353","The same people who sell the panic.
Sell the pill. <U+0001F937><U+200D><U+2642><U+FE0F>
"
"354","LET THE HUNGER GAMES BEGIN. 

"
"355","informational video from the UK government <U+0001F937><U+200D><U+2640><U+FE0F><U+0001F926><U+200D><U+2640><U+FE0F>

"
"356","<U+0001F1EE><U+0001F1F9> will never die... There is "
"357","There's no better time than NOW to use e-wallets to minimize the risk of spreading disease (like "
"358","Amen to this... Statues are not made for those who only criticize <U+0001F923><U+0001F923><U+0001F923> "
"359","Some clout-chasing bitches here on twitter tweeting about 'martial law' regarding the "
"360","It's all a big fucking joke to some people, I guess. "
"361","“Imagine that you do have the virus, and change your behavior so that you’re not transmitting it.”

Empathy. Common sense. Discipline. "
"362","If you want to be updated with the latest news about COVID-19 (Coronavirus Disease 2019), you may join this Telegram conversation "
"363","Department of Labor and Employment - DOLE Advisory No. 11 s., 2020: SUPPLEMENTAL GUIDLINES RELATIVE TO REMEDIAL MEASURES IN VIEW OF THE ONGOING OUTBREAK OF CORONAVIRUS DISEASE 2019 (COVID-19)
"
"364","Store was out of toilet paper so I bought a pooper scooper. Doesnt help my shitty ass problem but at least my turds arent dotting my floor anymore. "
"365","Czechs shut restaurants, pubs and most shops amid outbreak
.
Corona Live Updates -- "
"366","Several medical sources disagree with White House decision to not test Trump for coronavirus
.
Corona Live Updates -- "
"367","United Kingdom coronavirus death toll climbs to 21
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"368","Georgia governor declares a state of emergency over coronavirus
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"369","Islamabad, 30-year-old woman diagnosed with Corona, critical condition
.
Corona Live Updates -- "
"370","When CORONA VIRUS take effect <U+0001F602><U+0001F923> you "
"371","Whatever the president does you DDS always sees good about it, extrajudicial killing, not banning Chinese from flying into the countries, retaining the POGOs in the country, not having a proper plan for COVID these all sounds good for you all and that's insane. 

"
"372","What do we do!?
Hit link below 4 answers
"
"373","At the beginning of 2020 someone said this year's January was made in China based on how the longest month of the year moved so fast.
Now am starting to believe even 2020 is fake.
"
"374","I'll still be praising You Lord, even if I'm in fear. We are unsure of what tomorrow brings. All we know is that You are the same yesterday, today and tomorrow. We will overcome this for You have already overcame the world <U+2764><U+FE0F>
"
"375","""i hereby declare martial law""
- unconstitutional
- unoriginal
- hard to connect to "
"376","Evidently, a much worse Pandemic is one of ignorance. "
"377","Okay guys so just to be clear
Doctors and health professionals: tutok s how to stop the viruz and patients under PUI etc. 
Police and Military: tutok sa peace and order, minimize unecessary activity from the populace, to help avoid the spread of the viruz
Entiendez? 
"
"378","If you have cough, colds and fever and havent been in contact with anyone positive with "
"379","This is to ensure that hospitals will be able to cater those who will be suspected case of "
"380","Public and Private hospitals can do screening, but samples will still be sent to RITM. As of now only RITM can do testing for "
"381","May we all learn to work together. Let us not spread hate, fear and panic at these times. Spread valuable information to save lives instead. Not The Purge, Not Martial Law. But "
"382","5 MINUTES TILL THE PURGE
"
"383","1.choose a safe place to stop away from places where the fire could spread.
2. Switch off the engine and get out of the car and DO NOT OPEN THE BONNET
3.with your fire extinguisher loosing the bonnet just enough to aim it underneath
"
"384","Very soon Nollywood will act movie titled ""Coronavirus"". Asaba movie industry boys don't disappoint.

"
"385","TO THE PEOPLE WHO HAVE
BOUGHT 25 BOTLES OF SOAP/
HAND SANITIZERS LEAVING NONE
ON THE SHELVES FOR OTHERS,
DO HAVE TO REALIZE THAT TO STOP GETTING CORONAVIRUS, YOU NEED OTHER PEOPLE TO WASH THEIR HANDS TOO..
"
"386","The world of cricket will probably come to a halt after "
"387","Sobrang totoo. How can we rely with all these differing news coming from our very OWN GOVERNMENT!?!?

"
"388","Why do they have these freaking long guns as if they gonna fight in a battle??! Our people's AFP and PNP, kindly consider the added fear that this may cause. I hope you really MEAN PEACE AND ORDER. NOT WAR! <U+0001F622>

"
"389","The earth is taking a break <U+0001F494><U+0001F494><U+0001F494><U+0001F494>
CoronaOut "
"390","Do not underestimate "
"391","People, ano ba talaga ? Wag kayo magpaka-stress sa curfew details when in the first place it is everyone's responsibility to just stay at home and isolate.

"
"392","Why do people keep on comparing martial law and community quarantine? How ignorant. Why don't you just ask yourself, what can you do to help? "
"393","Please DONATE MASKS most especially sa mga NAG HOARD at nag RE-SELL please donate it nalang!!!! Priority Government Hospitals because wala na silang masks!! "
"394","Fact. Toilet paper is a nonessential item in pandemic. So is hand sanitizer. Neither will prevent the spread of Coronavirus. Hand washing is the smart option.  "
"395","i don't understand why people under quarantine escapes. i mean, what are you guys thinking?? instead of being cautious y'all risking other people's health instead. these insensitive people are scaring me. "
"396","Our govt should also suspend:

-TAX payments or deadline of filing of taxes on April 15
-VAT for cheaper prices of goods and commodities
-Loan payments especially in banks

These are patterned on how Canada, UK and Italy are doing to ease the burden of every citizen. "
"397","I’ll just leave it here.
"
"398","I’ll just leave it here.
"
"399","Y'all keep complaining about the actions of the government, and yet these soldiers are fighting the unseen enemy.
I am wholeheartedly salute to these heroes of our country!
"
"400","Guys, instead of ranting shits, y'all better wash your hands when exposed to the public, take Vitamin C, stay at home for your community quarantines (which is very far from martial law, bitches), and stay safe.
"
"401","I literally heard some people complaining shits about the actions of the government of these "
"402","And this is Spain, a suburb of Catalonia! Mass panic!!

Buying food! Photo and video material from the subscriber !!

"
"403","Post-quarantine city of Siena, Italy

It is like a zombie apocalypse 

"
"404","Officials: Man in Iraq, Slemani was quarantined for 14 days, tested negative after the period, however he got suck three days after he left the quarantine!?!

We are told the symptoms appear in ten days!!

"
"405","Hope everyone understand that we need to help each other to overcome this battle. Worst is that movies are somehow turning into reality. Hope it will stay as fiction forever. "
"406","It is just so heartbreaking that some people  are not taking the issue seriously while others are in pain and sorrow . Some people take the issue to profit / hoard while others that are in need are struggling. "
"407","Be a responsible citizen.

Stop hoarding basic commodities, No to fake news and always do handwashing.

"
"408","Donald Trump is dying. Release the Kraken "
"409","Antique will be implementing border restriction! "
"410","We are seeing a lot of guidelines regarding the lockdown. Are there guidelines being followed by the police/military on how to handle the people coming in and out of Metro Manila? Dapat transparent din yun sa mga tao. "
"411","This Coronavirus got everybody going crazy. Let’s <U+0001F64F><U+0001F3FC>, Have Faith, follow the instructions of DOH, WHO, PH Gov and TRUST GOD!!

No evil will conquer you; no plague will come near your home. For he will order his angels to protect you wherever you go.
Psalms 91:10-11 "
"412","Countdown to lockdown 
"
"413","My wife was just at Walmart and said it is crazier than when they open the doors for Black Friday "
"414","Japan asks citizens to stay indoors and citizens obediently comply.
People: aww so much discipline and good job to the government.

Philippines ask citizens to do preventive measures
People: nooo! Dictator ka! You'll use this as an excuse for martial law.
ctto
"
"415","It's really sad to know that "
"416","There are 34 new cases of Covid-19 in the Philippines as of Saturday 5pm PST adding up to the prior cases (64). In general, we have 98 cases. 88 of them are active with 1 in serious/critical condition, 2 recovered, and 8 deaths, unfortunately. 

"
"417","I just went to Publix, and they told me that there was a line of over 100 people before 7 am waiting for the store to open. By 8 they were out of toilet paper again <U+0001F92D> "
"418","Dont make fun of others when they are at problems because you dont know when that problem or something big might come upon you .<U+0001F64F>
"
"419","UK to ban mass gatherings
"
"420","COVID-19: All footballing activities suspended till Mar 31
"
"421","My only concern about "
"422","Oi let us not forget to appreciate the reporters and journalists. They are risking their lives too just to give us the latest update and information.<U+2728>

"
"423","China is recovering leaving the whole world struggling from the pandemic.

"
"424","What can you do about the problem with Covid19? other than showing anger at the government? to the president? what can you do for this country?   "
"425","Rise of a villain.
Ganti ng isang mahirap.
If today's reality a tragic film plot.
"
"426","From 98 to 111 and beyond all uncontrolled chaos 
"
"427","What if CHINA <U+0001F1E8><U+0001F1F3> is using this corona thing to hold the world to ransom and score some cheap economic gains out of it <U+0001F937><U+0001F3FD><U+200D><U+2642><U+FE0F>. It is not beyond them "
"428","ANO BA TALAGA is trending. Everyone is confused with the policies being implemented "
"429","What if this is God's way of giving us a break from all the hustle and bustle of this world? What if this a call for us to slow down from everything that we're running after that doesn't really matter? What if God just wants us to learn to rest in Him alone?

"
"430","Be aware of your social responsibilities younger ones. We know you have lesser probability of mortality rate of the virus but think about the elderly who are the most vulnerable. Think about your parents, grandparents, uncle and aunties. Do it for them.     
"
"431","You know guys how much I am anti Duterte on how he manage his power. Pero guys stop telling na walang aksyon or sobrang bagal gumalaw ng government or what so ever. Instead of trying to dig some dirt, why not help each other, kasi the government is trying to give help
"
"432","Effective no class and no work March 16-29 in Butuan City. Magool nata tanang workers, we really feel the real ncov  disaster and crisis.
Huhuhu "
"433","Imagine being killed by a foreign virus when you don't even have international passport!!!! "
"434","PSA: Please respect a lockdown or curfew imposed in your city or community to curb the spread of the disease. Otherwise, the efforts from us healthcare workers would be in vain. "
"435","Precaution is not synonymous with panic.  "
"436","Criticizing plans of gov't as of today is good, pero magkalat ka ng fake news sizt u'r CANCELLED. <U+0001F645><U+200D><U+2640><U+FE0F>

"
"437","I think it’s COMPLETELY irresponsible of "
"438","NEVER AGAIN TO MARIAL LAW <U+0001F602> RALLY PA HAHAHAH martial law "
"439","(Deuteronomy 7:15 KJV)

 And the LORD will take away from thee all sickness, and will put none of the evil diseases of Egypt, which thou knowest, upon thee; but will lay them upon all them that hate thee.
"
"440","Wait for Kenya...just wait... "
"441","The only cure and weapon against this Pandemic disease "
"442","COVID-19 came from a foreign land. The threat is from abroad. Why have a Domestic Lockdown and keep International flights coming in? "
"443","Roman emperor Caligula waged war on Poseidon. He had his army march to the beach and told them to start stabbing the water. collected seashells as war booty. Parang "
"444","The world isn't ending people! The situation would be A LOT better if everyone would STOP panicking &amp; hoarding. Even if the world WAS ending, all the bottled water, toilet paper and disinfectants aren't going to do you any good! Everyone needs to chill out.

"
"445","""Do not Fear"" was mentioned 365 times in the Bible. We have 365 Days a year. So... what do you think is God's message to all of us? <U+0001F60A> Let's just pray for one another. <U+0001F64F>
"
"446","Shit! Shit! Shit! "
"447","This is crazy. PHILIPPINES! KAYA NATIN TO! "
"448","My heart grew heavy this morning driving down skid row, seeing all the hundreds of people that will have to endure this pandemic without ANY resources. While my fuckin stupid ass is over here complaining about lack of toilet paper and having to drink "
"449","LOCKDOWN =/= MARTIAL LAW

But with the misaligned and oppressive policies set by our incompetent government, OUR RIGHTS become THREATENED. The issue concerns PUBLIC HEALTH. We don’t need obscene amount of military forces.

SOLUSYONG MEDIKAL, HINDI MILITAR
"
"450","People need to understand why the Government is actinfg as such. Read this part from a CNN article. "
"451","I am just saddened that when they needed the clinical exposure, the patients were there for them. But now that the patients need them, they have to be pulled out from an already undermanned health system.

"
"452","I've seen my previous clerks and interns step up during previous health crises, such as the leptospirosis outbreaks we've endured in PGH...

"
"453","Internship and clerkship is all about clinical exposure, and you don't get any other clinical exposure such as this, to know the weaknesses of the health system, and to know its strengths.

"
"454","What we're witnessing is a manufactured bio-weapon. "
"455","Why not also include SOAP, SHAMPOO and MURIATIC ACID to kill the bacteria from your brain down to your toes. <U+0001F937><U+200D><U+2640><U+FE0F> <U+0001F910>

"
"456","If you one who hoarded toilet paper......What the hell are you thinking?????  "
"457","But damn , my VL credit would be used up and it's only March <U+0001F62D>

"
