"","x"
"263","""Coronavirus is moving faster than our own government is.""

Same thoughts here in the Philippines. What Metro Manila need is a lockdown. "
"264","They said to stock up on food and be ready for a lockdown... but what about those who live off of the money they earned by day... what about those who live in the slums... 

The Philippines really can never... I hope the gov offers a little help"
"265","Seeing that the cases in the Philippines in a span of three days, have been doubled every single day, (2 - 24 - 49) the action to move a regional lockdown would be most convenient for the safety of everyone."
"266","I hope we don't get to the point of a lockdown. Could be wishful thinking now, but still... "
"267","Senate (not in AMERICA, but the Philippines, in this case) on lockdown after guest tests positive for "
"268","Philippines' senate will be on lockdown due to an exposure of a resource person positive with "
"269","JUST IN: Senate President Tito Sotto confirms that the Senate will be on lockdown starting tomorrow after a resource person of the Senate Committee on Basic Education, Arts, and Culture tested positive for COVID-19. 

"
"270","Lockdown the Philippines all you want. But don’t suggest to lockdown a particular region (i.e. Metro Manila) kasi madami ring PUI sa mga probinsya. I don’t see any good in it. <U+0001F937><U+0001F3FB>"
"271","50 confirmed lockdown na Philippines "
"272","Research topic idea: will the lockdown of Metro Manila helps in solving the problem about Covid19 here in the Philippines?"
"273","DOH confirms 49 COVID-19 cases in the Philippines. 

Holy Week is in two weeks, so if they're going to do a lockdown here in Metro Manila. I hope they do it before people go home to their respective provinces."
"274","On TV the details are-

- The reason for the uni lockdown is that a teaching fellow from the Philippines tested positive. He was in contact with staff &amp; students.

- He recently came back from PH, he did not test positive initially, but a week later he did. "
"275","If California goes into lockdown, I would voluntarily quarantine myself before I return to South Africa. Or the Philippines. Is this wise? "
"276","Big time, we lost the lead time, now, we're running out of time. Pray. that this gov't start getting their acts together, recoup the most precious time, is of the essence.

And should there be a lockdown, do we enough food and medical supplies?<U+0001F64F><U+0001F64F>

3/3

"
"277","“Some 39 cases have a direct or indirect travel link to the US, The United Arab Emirates, the UK, Italy, Iceland, Singapore, Thailand, the Republic of Korea, Japan, Indonesia, Philippines, Taiwan, Cuba, Trinidad and Tobago, Nepal, Egypt, Austria, Franc…” "
"278","Some part in Philippines is about to have a lockdown and my place is part of that. God please take care of us"
"279","Philippines cannot afford a lockdown. <U+0001F611>"
"280","""Based on our objective criteria, we will see a possible lockdown. Kung mayroon man, localized. Hindi po ito buong lugar,"" he said during the House hearing.
"
"281","metro manila lockdown is a no no FOR NOW. why? because philippines and we, filipinos aren't prepared for that. metro manila is the capital of the country, what will happen to the provinces, to us if metro manila will shutdown?"
"282","the first positive case of ncov in the Philippines was in NCR yet the appeal of the city government for a lockdown was rejected by the president because IT IS TOO EARLY for it. mr president, just because YOU are not personally affected doesn’t mean the people are still safe. + "
"283","The Department of Health said Monday that no lockdown will be enforced until it has confirmed cases of ""sustained community transmission"" of "
"284","The DOH said there is no need to have a lockdown as of this time because the Philippines is still in Code Red sub-level 1 alert. 
Lockdown will be implemented under sub-level 2 alert describing sustained community transmission.
"
"285","Last month our government didn't want to ban flights wherein covid19 came from but then now they want to lockdown Manila? Hoping next time you should consider your own fellow men which are FILIPINOS, Stay strong Philippines! <U+0001F4AF>
"
"286","Last month our government didn't want to ban flights wherein covid19 came from but then now they want to lockdown Manila?. Look what happens now. Next time I'm hoping that you should consider your own fellow men which are FILIPINOS, Stay strong Philippines!<U+0001F4AF>
"
"287","Okay it’s a serious thing now, people deal with the safety precautions!!!! 

A number of ten(10) confirmed cases added to which sums up to total 20 confirmed covid19 cases in Philippines. A lockdown maybe as hard as it is, pero i think its needed."
"288","i agree to senator Binay 
and now they proposing to lockdown NCR <U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D>. what will happen if they lockdown NCR
nakakpanic talaga.  Philippines is not ready for this cases 
please LORD GUIDE US "
"289","National Capital Region (NCR) is now under Community Quarantine, stay safe everyone! <U+2764><U+0001F64F> "
"290","As of now there are now 111 cases of COVID-19 in the Philippines <U+0001F494> Pray for the patients for fast recovery <U+0001F64F> "
"291","Just follow the rules and order is for us anyway 
God Bless Metro Manila 
God Bless Philippines
God Bless World
 "
"292","code red sublevel 2 <U+0001F9A0>
stay safe everyone <U+0001F64F><U+0001F3FB>
more importantly stay calm <U+0001F486><U+0001F3FB><U+200D><U+2642><U+FE0F> 
"
"293","officially on community quarantine! "
"294","Be safe, by washing your hands. Ain't nobody got time for being sick. Life is not like a box of chocolates. Choose the right!
.
"
"295","pls stay safe! <U+2639> "
"296","It's March 15 start na ng community quarantine! "
"297","Everybody: Please always wear a face mask.

Me:
"
"298","LETS ALL SURVIVE THIS AS ONE! 
"
"299","To those wishing to help our frontliners via monetary donations, here's one easy way to do so <U+0001F44D> "
"300","THIS IS NOT A TEST. OMG THE FEELS! GOD BLESS MANILA. GOD BLESS PH! "
"301","I am scared. I am worried but I trust my country. I trust God. Let's all pray for Philippines for this whole month of quarantine. God bless Philippines! "
"302","its here.
community quarantine.
"
"303","Community Quarantine starts now

"
"304","Instead of using social media to bash the president or others, why not try to atleast post something good to encourage others. I understand we are all scared, but I guess it will feel a lot better if we fight against COVID altogether "
"305","IT'S COMMUNITY QUARANTINE DAY EVERYONE

Enjoy your stay IN NCR 

"
"306","<U+26A0><U+FE0F><U+26A0><U+FE0F><U+26A0><U+FE0F> ALERT <U+26A0><U+FE0F><U+26A0><U+FE0F><U+26A0><U+FE0F>
Metro Manila and Batangas province are now both officially under a 
""COMMUNITY QUARATINE""
until April 14, 2020
"
"307","Community Quarantine Guidelines for BATANGAS PROVINCE.

"
"308","47 new cases in 1 day...it’s multiplying by the day <U+0001F9A0> 

"
"309","Community quarantine starts now. "
"310","Good luck Metro Manila <U+0001F64F><U+0001F3FC><U+0001F64F><U+0001F3FC><U+0001F64F><U+0001F3FC> "
"311","<U+26A0><U+FE0F><U+26A0><U+FE0F><U+26A0><U+FE0F> ALERT <U+26A0><U+FE0F><U+26A0><U+FE0F><U+26A0><U+FE0F>
Metro Manila is now officially under a 
""COMMUNITY QUARATINE""
until April 14, 2020
"
"312","Community Quarantine pls!
"
"313","We Will Survive <U+0001F64F><U+2764><U+0001F64F>"
"314","PLEASE SHARE! Staying in on Sunday? You can go to church while still on your couch! Just hit the ""Live Streaming"" tab on the home page of "
"315","""Community Quarantine"" starts now!!! Be safe everyone and don't forget to pray <U+0001F64F><U+263A>  "
"316","Let‘s all do our own ‘self initiative’ positive share. Spread positive and correct info, stop the hate and let us all help each other. The govt will do what they think is proper and best, let us do our fair share of it as citizens of PH. "
"317","[15 Mar 2020] Day 01 of Metro Manila, Philippines Community Quarantine. "
"318","Metro Manila Community Quarantine starts NOW!

"
"319","Community Quarantine starts now

"
"320","hmm.. Makati. How are you implementing this curfew? Is there really going to be a “community quarantine” and curfew here? What’s your take on these issues? Haven’t heard much about Makati at all..

"
"321","the real heroes here are those workers who are in medical field. i pray that y’all will be safe. "
"322","Gosh 34 ADDITIONAL "
"323","It's funny how these extreme leftists claim to represent the poor when by the mere fact they're on Twitter 24/7 makes them part of the Middle or High Levels of the Middle Class... <U+0001F923><U+0001F923><U+0001F923> "
"324","3 minutes before the ""community quarantine"" starts. I'm praying for a peaceful, no violence, and humane treatment of all Filipino citizens—from the policemen, military, health professionals &amp; ordinary townsfolk.

Let's cooperate and fight against "
"325","as of Saturday evening, there are 111 confirmed cases of COVID-19 in the Philippines, according to DOH

stay safe guys, wear your mask always, from 98 to 111:((

 "
"326","Department of Health (Philippines) reports 13 additional cases (PH99-PH111) of "
"327","No matter how you feel about this government, don't wish it to fail. Especially at a time like this. <U+0001F1F5><U+0001F1ED> 

Pilipinas, kaya natin ito. <U+0001F64F> 
"
"328","BREAKING: DOH confirms 34 new COVID-19 cases, bringing the total number of cases in the Philippines to 98. 

"
"329","I hope "
"330","White House MD says Trump doesn't need to be quarantined after interactions with 2 people who tested positive
.
Corona Live Updates -- "
"331","European Parliament proposes new support for hospitals
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"332","New York looking to open another drive-through coronavirus testing facility
.
Corona Live Updates -- "
"333","First coronavirus-related death reported in New York
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"334","Thai actor tests positive for the coronavirus
.<U+0001F6A8><U+0001F6A8><U+0001F6A8>
Corona Live Updates -- "
"335","Please watch and be informed! Social distancing and proper hygiene! <U+2705>

(I found this in WHO’s Instagram stories yesterday. Since not everyone has ig, I’m sharing it here.) "
"336","The explanation why the Govt. apply these kind of rules is simply to help us and make sure all Filipinos are safe. It's a matter of changing the world from now to the present.

"
"337","We are about to go into an uncharted period in our lifetime, somewhat different even to Martial Law.

Let's all be vigilant, stay safe (and indoors), coordinate properly with the authorities, and be calm.

We will get through this.

"
"338","Batangas is implementing community quarantine in 5 minutes, my fellow Batangueños I hope you're all sleeping well tonight  because tomorrow is gonna be chaos. "
"339","Trump Tells Americans To Practice “Social Distancing” Even Though He’s Recently Been Seen Shaking People’s Hands
"
"340","i think they should learn from this like one or two "
"341","Please share.
Stay safe everyjuan <U+0001F64F>
"
"342","They’re not taking any chances at Oklahoma City’s Mercy Hospital. Restricted visitation and checkpoints everywhere.
<U+2066>"
"343","What a weekend without football!! Can I survive this..??
"
"344","fixed it for you. you're welcome AFP-PNP

"
"345","Around 9:00pm I already saw some members of the military circling parts of Manila, esp. around LRT stations. However, I didn't feel safe. Alam ko may mga quota 'to mga 'to.

"
"346","Flying back to Paris again tonight, I was just there not even 24 hrs ago and this time we’ll be putting mask and gloves on board right after take off. <U+0001F64F> God, please protect Your people. Community Quarantine starts in a few mins in my country. Stay safe! <U+0001F1F5><U+0001F1ED> "
"347","good time to revisit my presidential platform. "
"348","So, I get all excited for "
"349","We really need to pray. <U+0001F64F><U+0001F3FB>  "
"350","This is it!!! Take care, everyone. Avoid leaving the house but remain informed.

 "
"351","*healing prayers for everyone*

"
"352","Outstanding piece by my amazing colleagues "
"353","Please pray for  the recovery
of Dr B <U+0001F64F><U+0001F64F><U+0001F64F>
"
"354","Pray for our doctors, nurses, medtechs, radtechs, medical staff. <U+0001F64F><U+0001F64F><U+0001F64F>
"
"355","Please donate N95 masks and PPEs to our frontliners, the health workers. 
"
"356","Yung Physician (Seo-bi) sa Kingdom eh parang yung mga UP Scientists and Public Health servants natin na always helping like heroes but unappreciated most of the time.

"
"357","I COULDN’T HAVE SAID IT ANY BETTER! "
"358","10 minutes to go before the community quarantine. "
"359","The Month-long Community Quarantine starts 10 minutes.<U+0001F636>  "
"360","Protect yourselves the "
"361","gusto niyong mawala yung coronavirus but you're out there rallying on the streets <U+0001F644> common sense where art thou?!

"
"362","STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

STAY SAFE!!!

"
"363","If you are at Disney today seek solace that you may be the lowest form of intelligence that this planet has ever known. "
"364","Americans are about to find out in droves that premiums and copays (AND NOT CARE) are the only components of our greedy profit based healthcare system. "
"365","In just a few minutes, silent heroes will save our economy. Still work mode even the whole Metro is under Community Quarantine. "
"366","They should also consider to recompute the tuition fees IF they won't extend their school calendars to 5 more weeks. "
"367","instead of ranting and questioning the government's way of making solutions for this matter why don't you ask yourself of what you can contribute to this?"
"368","Imagine calling our President ""bobo"", ""walang utak"", and you, just sitting right there, and yet, you can't even memorize even the ""Preamble of the Philippines"". eeeeehheeeewwwwww
"
"369","President Duterte calling Filipino students ""anak"" makes my heart flutter and saluted.

Everyone should cooperate with the government as well. No more rants, no more violent reactions. Let's cooperate to fix this faka.
"
"370","let us choose to be kind by thinking how each of our actions impact others. a single act creates a ripple effect. let us choose to do good in these trial times. let us choose to be humane and remember we need each other to survive. God bless everyone! "
"371","If the world Economy was a date, The United States of America's role would be the woman, and China's role would be of the man. "
"372","Corona patient fallen on a main srtee of Tehran, Iran

Iran is dying, International community has to help 

"
"373","Covid19 causing mighty nations to tremble. May God help us.  <U+0001F64F>

"
"374","Just for transparency, they should also include in the news those who already recovered. Yes as of now out of 111 only 2 have been recovered, but still the word is ""RECOVERED"". Do you think it can give the Filipino citizen hope and encouragement to do their part? 

"
"375","Kapit lang. We will survive this together. <U+270A><U+0001F3FC> "
"376","Bat wala silang masks? 
U guys know that guns cant protect them from the virus. Just saying "
"377","Everything happens for a reason.
Heal our Land oh Lord!
"
"378","Are this information legit ? "
"379","This is a friendly reminder to wash your hands properly. Proper handwashing is the best defense against infection. On average, we wash our hands for only 6 seconds. Make sure you’re washing for 30 seconds with soap. "
"380","this is how provincial government of Abra deal with a CONFIRMED COVID-19 PATIENT “HOME QUARANTINE” !! GIVE HIM A PROPER MEDICATION BY LETTING HIM STAY IN HOSPITAL TO PREVENT MORE SPREADING OF COVID IN OUR AREA! "
"381","Why do I feel like the number of confirmed cases will really spike up by the end of this week? Tama na please. This is so heartbreaking <U+0001F62D><U+0001F623>  "
"382","Spain, the new epicenter of COVID19; 1500 case in a day
"
"383","How crazy people are in my area. At this rate were going to have no food left and people that can't afford to shop in bulk like how others are doing are going to starve because of it "
"384","Wuhan Coronavirus: One Woman’s Story of Survival

"
"385","For Christians, Victory Fort will have a livestreaming on their FB page: "
"386","Some malls in Makati closed as early as 7pm.

On my way home, I passed by some areas and people are on the street either drinking, eating, and some probably doing tsismis.

Without proper LGU and baranggay enforcement, this quarantine will not work. "
"387","For Catholics, you may view/attend online masses through social media. Please see list of churches with online masses this Sunday. "
"388","Protect your toilet paper, niggas is watchin <U+0001F440> <U+0001F923> "
"389","Let us pray. This will end. In Jesus name! "
"390","Do not forget to take vitamin C and drink more water, eat healthy foods and please don't go outside if not needed. Keep safe kapwa ko pilipino. This will end. God is with us. "
"391","Very understandable indeed!

If only the people in PH can understand and officials would properly explain why most of the time travel restrictions and border shutdowns are counterproductive especially in time of pandemic, we would have more cooperative citizens. "
"392","No gloves, no masks pero may baril. Blatant display of priorities by this gov’t. 

Lord have mercy. 
"
"393","From 98 to 111 cases na mygosh:(/

May the blessing and protection from the almighty God be with us<U+2764> 

 "
"394","Please Lord, i know our faith should be bigger than all these challenges. We should never doubt your existence and your love for us even we are all sinners. Please protect us and our families. Hope this pandemic ends soon. Give us a chance to make it up to You. <U+0001F64F>

"
"395","I can't imagine how it is to be away with my own family if any of us gets infected. I'm sure you also feel the same way. Please, let us all stay healthy. 

"
"396","Couldn't imagine what's gonna happen in 2 weeks after a lot has flown back to their provinces prior to the community quarantine. Sana lang talaga, walang carrier sa kanila. Please. Please.

"
"397","Coronavirus in the Philippines as of 14 March 2020

Confirmed cases: 111
Deaths: 8
Recovered: 2
"
"398","Philippines is kind of my second home,I just started my business in Manila.May god bless the people here!I see the recent action and response of the Philippine gov to the virus is good.Even if there're some problems, but in the face of the crisis,let's fight toghter!"
"399","Everything will be fine! Laban Pilipinas<U+0001F1F5><U+0001F1ED> "
"400","We can't blame the president of doing such thing cause he already know that we're very hard headed. So, he wants authority for our safety. Stop thinking ill of someone who's giving his best for us. He's the President so we should obey and pray.
"
"401","Let Christ give your heart peace right now. 

——
In these trying times, we'd like to paint your feed different HUES. <U+0001F499><U+0001F49A><U+0001F49B> Let us arm ourselves with God's Word and remain in faith!
"
"402","New music for home people
Hatter EP is out now --&gt;

"
"403","Yes "
"404","General "
"405","Health and safety first! "
"406","hometown was in total lockdown "
"407","“I love You, O Lord, my strength.”
The Lord is my rock and my fortress and my deliverer,
My God, my rock, in whom I take refuge;
My shield and the horn of my salvation, my stronghold.
— Psalm 18:1-2

"
"408","More information for public use "
"409","The community quarantine is a big step that the govt is taking to at least control the spread of covid-19 and they will assess it daily and hope for the best, If it will not work and they change it, please let's be supportive and don't throw negativity. "
"410","Watching the special coverage of "
"411","Makinig at sumunod lang gawin natin Pilipino oh kahit ngayon lang.

Dont Create some barriers in this certain problem. What we need is that, support our Government response in this Problem. Wala munang magmagaling Ohh.
UNITE PHILIPPINES PLEASSEEE 
"
"412","REALITY:
Not all BPO companies can accommodate work from home.

"
"413","president duterte is obviously a president. he's not a scientist or somewhat.
"
"414","GMA and ABS-CBN both decided to make a hiatus due to the fast growing number of covid cases in the philippines. old dramas are expected to be brought back and introduced to new generation.
"
"415","All Ryanair Group flights - including Buzz and Lauda - to and from Poland have been cancelled from midnight on Saturday to midnight on March 31.
"
"416","There should be no offence if someone is hesitating while shaking hand or hugging you. Please respect this hesitation and reluctance.
Thank you <U+0001F64F>

"
"417","3/12- stocked up on food/snacks

3/13- it gone 

"
"418","Be safe "
"419","Happy weekend world!
Happy weekend Ji-sub!
Stay safe and healthy.
"
"420","WOW! This lady has lived under socialism and tells us why she <U+2764><U+FE0F>’s "
"421","Sing 2 d Lord a new song....D Lord has remembered his love n His faithfulness to d house of Isreal...,.ps98
"
"422","This looks promising... "
"423","Almost 12. Could be a tough week for everyone. Hoping for everyone's safety and i wish it all ends quickly. "
"424","Masses are now shifting to online streaming.
Uhm, Father?
How do I give my offering?

Father: ...
GCash: ...
PayMaya: ...
Smart Padala: ...
Cebuana: ...
Palawan: ...

"
"425","When your next door neighbors test positive for "
"426","Cooperation is the cure people 

"
"427","Alcohol saves. Mask saves. Hi! I just want to tell you that Jesus saves. Alcohol and mask can be out of stock but God will not ran out of His power to protect you.
"
"428","The virus calls us to unite. It is time that we put aside our political differences and work as one. Laban mga Pinoy! "
"429","May God protect all the frontliners. Amen. "
"430","before I go to sleep tonight, I just want to tell ALL HEALTH WORKERS and FRONTLINE PERSONNEL, Ma'am/Sir, I greatly appreciate all the things you are doing. know that many of us are praying for you. KEEP THE FAITH and CONTINUE THE FIGHT AGAINTS. <U+270C> "
"431","lockdown and suspension of classes were layed for the greater good of everyone. let us do our part to cooperate with the authority, take care of ourselves and most of all, encourage and support ALL HEALTH WORKERS and FRONTLINE PERSONNEL. let's pray for everyone. "
"432","AMEN!!! <U+0001F64C> "
"433","We are starting a facebook group for The Professionals and Entrepreneurs. Join Via this link
"
"434","Keep safe everyone<U+0001F64F><U+0001F3FB><U+261D><U+FE0F><U+261D><U+FE0F>

 "
"435","Ok well, "
"436","I hope that 111 are enough.<U+0001F625>"
"437","instead of ranting and questioning the government's way of making solutions for this matter why don't you ask yourself of what you can contribute to this - ctto ?"
"438","Katawaredoki sa Kamaynilaan.
More or less 30 minutes from now, Cavite and Metro Manila will be like this (hopefully) for a month.

Good night, stay safe and strong! Be alert!

Scene from Makoto Shinkai’s “Kimi no na wa.”
"
"439","It’s disappointing. Really. Filipinos should unite in times like this. 

 "
"440","It is hard for me to absorb all the things happening for the first quarter of 2020 <U+0001F641>.

Negative news runs throughout the planet. 

I am hoping that one day God will heal our beloved land where we can peacefully live again.

"
"441","Please have our Soldiers wear MASKS!!! <U+0001F1F5><U+0001F1ED> "
"442","Well with Illinois schools all closed due to "
"443","UNPOPULAR OPINION (Thread)

I personally think the medical interns and clerks should be tapped in this crisis.

Yes, they're students, and yes, they're still learning. But this is how they learn.

"
"444","And they have been the amazing physicians they are now because of it, developing ingenious ideas and smart solutions to problems we, their residents and fellows, have started to miss.

"
"445","Anyone can provide a link of legit source from 98 to 111 of "
"446","What a great video to educate kids about the importance of washing their hands <U+270B><U+0001F91A>"
"447","Keep Safe Everyone! Keep on Praying <U+0001F64F><U+0001F3FB>
"
"448","Interesting that that everywhere else just saw a spike in cases just like China did early Feb.   Will we level out like they did? 
"
"449","What we need are following:

1. Health workers should be leading the effort at checkpoints
2. A separate comprehensive set of guidelines on health-based mitigation policy of Covid-19
3. Mandatory screening of all inbound foreign visitors at airports across the nation

"
"450","Bringing back meaning of saying ""Bless you"" after someone sneezes 
"
"451","Psalm 91:3-4 NIV
Surely he will save you from the fowler's snare and from the deadly pestilence.

He will cover you with his feathers, and under his wings you will find refuge; his faithfulness will be your shield and rampart.

Good morning!
God bless! :) "
"452","Let's keep ourselves safe before anything else.

"
"453","Dear Durbanites, Joburgers, Ma-Pitori &amp; Capetonians,
 
Now with Coronavirus on the rise, are y’all at the groove today?

"
"454","111 confirmed cases of COVID19 :((
"
"455","Nung wala pa action si Duterte , people thinks he's not doing anything. Now people are bashing him . Its a pandemic guys , we all know he's doing his best. That's the reason hindi sya makapg decide agad. Please go on easy on our president

"
"456","111 Confirmed cases in the Philippines 

<U+203C><U+FE0F>The Department of Health confirms 13 new COVID-19 cases 

DOH confirmed a total of 47 cases today. "
"457","Yes ! "
"458","I hope Metro Manila residents  cooperate with stay at home advice &amp; "
"459","Saw in a Facebook comment : ""Obviously the government is running like a headless chicken... walang coordination... utos lang ng utos yung naka upo sa Palasyo without the proper thought process"" 

ANO BA TALAGA? "
"460","Please eat healthy, take your daily vitamins, have enough sleep, and practice proper hygiene (esp bathing and handwashing, wag puro alcohol lang, ok?). Also, social distancing of 4 meters is advised. Waray anay mamamasyada. 

Praying for everyone’s safety!
"
"461","Italy stay strong...  <U+2764><U+FE0F> <U+0001F1EE><U+0001F1F9> 

"
"462","i have nothing to pray for but a good health of my fellow Filipino people. Let's be safe, 2020. "
"463","This thread is worth reading. "
"464","MATCH FIXING IS REAL <U+2705>
"
"465","Your VP everyone. Our medical people will feel that they are important too. 

"
"466","UPDATED: NLEX Statement on Metro Manila Community Quarantine "
"467","Is the Philippines' 1st confirmed nCoV case, a Chinese national from Wuhan,  the country's PATIENT ZERO?    "
"468","BREAKING NEWS: Jolina Magdangal has tested positive for consistently serving us with impeccable acting skills, hit songs and comedic physicality to every character she portrays. 

Story is still developing. "
"469","Let's all wake up, please? 

"
"470","Thanks for this

"
"471","Just so we are clear:

Mixing a 40% alcohol solution with another 40% alcohol solution will not equal to an 80% alcohol solution. Rules of addition do not apply to solutions. <U+0001F919>

"
"472","Wash your hands, be clean, stay healthy, don’t hoard tissue papers or alcohols, read and educate yourself, obey the law and be a good citizen. Do your part dummy.
"
"473","the importance of affordable healthcare for all, families’ reliance on schools for meals, and the importance of practicing kindness, among other things. Let’s use this pause to refocus on what matters. "
"474","Why do we call it Corona because it looks like Crown when checked microscopically 
"
"475","Pray for our doctors, nurses, medtech &amp; radtech personnel -- indeed all medical staff. <U+0001F64F>
"
"476","Hoooyyyyy!<U+0001F622> Code Red Level 2 na ang COVID-19! KEEP SAFE EVERYONE!

"
"477","Great Article on "
"478","The great Sir Isaac Newton retreated to the English countryside during the bubonic plague. There he invented The Calculus and the Law of Universal Gravitation! What can you do that is "
"479","Asian dude started coughing at the restaurant and I heard a white kid mumbling (R1, R2, L1 , R2, Left , Down, Right, Up, Left, Down, Right, Up)  

"
"480","everytime the Philippines is trending on twitter..
"
"481","I’m well amazed at people in the medical field. I salute you that’s why I’m eager to follow my heart on taking a med courses. 

 "
"482","pray pray pray, always keep the faith. <U+0001F64F><U+0001F64F> "
"483","The world needs a real life Seo-Bi today.

"
"484","By the year 2020 we would have flying cars.

But NO! Here we are, teaching people how to wash their hands. <U+0001F602>

"
"485","Community Quarantine starts tomorrow<U+0001F97A> please obedient. We need to help one another. "
"486","Let's wait for the said NCR Community Quarantine. <U+0001F637>
"
"487","For many saying that it is not the time for political colors, here is a concrete movement to support the  "
"488","The main reason why this country is not growing is that the citizens themselves lack self-discipline and continue to blame the government.

"
"489","Hello guys take care apidemic is real, continue using "
"490","Since there are 100+ confirmed cases of covid 19 today, I guess it's time to lockdown the Metro Manila and suspend the work for all employees. "
"491","Stay Safe Everyone."
"492","-&gt; COVID-19 UPDATES (PH) &lt;-
Total cases: 111
New Cases: +47
New Deaths: +3
Total Deaths: 8
Active Cases: 101
Recovered: 2
"
"493","--COVID-19 UPDATES (PH)--
Total cases: 98
Total Deaths: +34
Active Cases: +3
Recovered: 8
"
"494","--COVID-19 UPDATES (PH)--
Total cases: 98
Total Deaths: +34
Active Cases: +3
Recovered: 8
"
"495","Magstart na ang community quarantine in an hour. I hope and i pray everything goes well <U+0001F64F><U+0001F3FB> "
"496","11:11 wish and prayers for 111 infected patients, the persons under the quarantine program, the medical team and doctors, the whole country and the whole world.
IN JESUS NAME, OUR WORLD WILL BECOME N-COV FREE <U+0001F64F><U+0001F64C><U+0001F3FB><U+0001F446>
"
"497","[DOH HEALTH ADVISORY]
Gabay para sa ""Close Contact""

"
"498","Some useful visuals worth looking at about "
"499","How can you expect a country to work together when even the people who are supposedly leading us aren’t talking with each other, organizing better plans of action? 

Sakit sa ulo nitong gobyerno <U+0001F926><U+0001F3FB><U+200D><U+2642><U+FE0F>
"
"500","Let us also pray for our soldiers and police who will be assissting in the community quarantine.  "
"501","Your contribution is to pray and stay home!  "
"502","Can we please just STAY HOME!  "
"503","stop touring here omg we dont like you <U+0001F62D><U+0001F62D><U+0001F62D> "
"504","Guys, if you have mild symptoms, chances are we are not going to swab you per the DOH algorithm. We will send you home for quarantine but you have to coordinate with your LGU/BRGY for monitoring and clearance. "
"505","Please. It may look trivial but this is the best help each one of us can do. Staaph with the stubbornness wc is so in born with Pinoys  "
"506","It is time to call those corrupt people to donate coz your money will never save you. When paying ( cash), we can also transmit the Covid19. ( correct me if im wrong, SORRY). When u touch the money, we cannot trace it.
Frequent handwashing, Vit C, eating -

"
"507","Kung hindi man lang gab e ubra mo jusko pag paukoy sa balay. No one can protect you but yourself. While you are protecting yourself,  you protect others too and it will go on and on. <U+0001F926><U+200D><U+2640><U+FE0F> "
"508","Let’s appreciate and cooperate ppl "
"509","There should be some way to protect the families of them doctors who work in the e.r during the crisis of "
"510","PSL With Empty Seats Is Just Like A Fastest Car Without Wheels...

Credits: "
"511","Ugh! Bakit ba sobrang focus kayo sa LOCKDOWN?
Why not focus on how to keep yourself and your family safe? Dagdag mo na din yung tao sa paligid mo. If you are suspecting na may sakit ka then go to the hospital and get checked. "
"512","from 98 to 111 confirmed cases 

real quick pre <U+0001F926><U+0001F3FD><U+200D><U+2640><U+FE0F> stay safe everyone.

"
"513","JUST IN: As of Saturday evening,  111 confirmed cases of COVID19 in the Philippines according to DOH. 

I just wanted you to be updated. Please be safe! From 98 to 111 realquick :--( "
"514",""" if you don't cooperate 
problem starts with you .
- president rodrigo duterte
SO TRUE  .....
"
"515","Aruyyy una pa lang pasaway nako haha!! But these are helpful tips to share!! <U+0001F602> "
"516","Well, that's another way to do it. "
"517","Id like to buy 10 nurses in Manila some coffee as thank you for the sacrifice they make for our country, DM me and ill send you money for a large cup of joe. "
"518","I believe that's what the PUblic Information Office is for...so hopefully they will reallocate resources for comms, na use the budget for test kits. "
"519","It pays to be compassionate. When healthcare workers are being villified, take the time to understand their process of evaluating patients. "
"520","The scary realization that you won't see the person you like for a month and have no assurances whether you're both alive by the end of this pandemic. "
"521","Let us all pray for everyone's safety especially our health workers who are risking their lives everyday to cure the infected, and our Philippine Military who are outside to ensure the peace and order during this catasprophic event in our country. God bless everyone!

"
"522","All my sports app’s are ass right now!
<U+0001F62B><U+0001F62B><U+0001F62B><U+0001F602><U+0001F62B><U+0001F62B><U+0001F62B> "
"523","y'all should be feeling a little bit relieved that the numbers went up from 98 to 111 bc that means contact tracing is effective. as of today there might be 700+ undetected asymptomatic cases considering the current death toll "
"524","I cared for you. I want you safe. I bought you masks, rubbing alcohol and a disinfectant spray but you don't care. <U+0001F494> "
"525","We only have a General Community Quarantine in the NCR. Limited, pero andaming reklamo. Spain is implementing a nationwide lockdown, equivalent to our Enhanced Community Quarantine. Just hope (and cooperate so) we don't get to that point. "
"526","To all travellers from NCR please lang!  "
"527","Thanks heavens the gov in cebu is dealing with it much better! I feel a bit better na. Less worried na. Sa Metro Manila na andaming confirmed cases, mali mali ang infong nabibigay. "
"528","Do your obligations as good citizens and abide with the regulations prescribed by the higher authorities. This (covid-19) too shall pass so long as there is cooperation and unity amidst crisis. 
"
"529","“The World Health Organization had working tests that the United States refused, and researchers at a project in Seattle tried to conduct early tests for the coronavirus but were prevented from doing so by federal officials.”-Peter Wehner
WHY???
"
